Action;Similar;Opposite;A feeling;B feeling
are_hindered_by;are_frustrated_by, are_undermined_by, are_disappointed_by, are_failed_by, are_resisted_by, are_driven_mad_by, are_censured_by, are_disobeyed_by, are_fought_by;are_helped_by, are_assisted_by, are_facilitated_by;supported-;
are_informed_by;are_educated_by, learn_from, are_influenced_by, are_answered_by;are_deceived_by;respected+, supported+;
are_interrogated_by;are_questioned_by, are_tortured_by, are_investigated_by, are_probed_by, are_interviewed_by, are_evaluated_by;are_silenced_by, are_ignored_by;attacked+, disrespected++;
are_kidnapped_by;are_abducted_by, are_snatched_by, are_imprisoned_by;are_ignored_by, are_overlooked_by;attacked++;attracted++
are_loved_by;are_worshipped_by, are_venerated_by, are_admired_by, attract, marry, are_kissed_by;are_despised_by;supported+;attracted++
are_mentored_by;are_supervised_by, are_guided_by, seek_advice_from, confer_with, consult_with, look_up_to, listen_to, are_molded_by, are_influenced_by, consult, are_commanded_by, are_counseled_by, are_trained_by, are_tutored_by, are_counselled_by, are_instructed_by, are_educated_by, are_managed_by, are_motivated_by;are_ignored_by, are_abandoned_by;inspired++;respected++
are_overthrown_by;are_deposed_by, are_usurped_by, are_toppled_by, are_supplanted_by, cede_power_to, are_conquered_by, are_beaten_by, are_defeated_by, are_overrun_by;defeat, are_supported_by;supported---, attacked+;inspired---
are_paid_by;are_appreciated_by, are_rewarded_by, are_funded_by, are_financed_by, are_repaid_by;are_refused_payment_by;supported+;
are_painted_by;pose_for, model_for, are_photographed_by;are_disfigured_by, are_misrepresented_by;;attracted+
are_persecuted_by;are_oppressed_by, are_tormented_by, are_tortured_by, are_taunted_by, are_insulted_by, are_sickened_by, are_disgusted_by, are_shocked_by, are_abused_by, are_harassed_by, are_bullied_by, are_attacked_by, are_mocked_by, are_stalked_by, are_cursed_by, are_driven_mad_by;are_supported_by, are_facilitated_by, are_encouraged_by;attacked+, disrespected++;inspired--
are_persuaded_by;are_brainwashed_by, are_charmed_by, are_enticed_by, are_bought_off_by, are_moved_by, are_influenced_by, are_seduced_by, settle_with, are_indoctrinated_by, agree_with, are_converted_by;disagree_with;inspired+;respected+
are_reported_by;are_accused_by, are_prosecuted_by, are_sued_by, are_accused_by;are_popularized_by, are_marketed_by;supported--;disappointed++
are_represented_by;act_via, dispatch, delegate_to;are_misrepresented_by;;
are_savaged_by;are_attacked_by, are_assaulted_by, are_bitten_by, are_hurt_by, are_insulted_by, are_killed_by, are_cursed_by, are_disfigured_by, are_ruined_by;are_nurtured_by, are_protected_by, are_shielded_by;attacked+++, disrespected++;
are_served_by;are_supported_by, are_advised_by, delegate_to, are_protected_by, are_guarded_by, are_obeyed_by, are_defended_by, are_assisted_by, are_attended_by, are_cared_for_by, rely_on;are_hindered_by, are_undermined_by, are_frustrated_by;respected++;
are_subdued_by;are_suppressed_by, are_defeated_by, are_conquered_by, lose_to, are_subjugated_by, are_oppressed_by;are_encouraged_by, are_motivated_by;attacked+, disrespected+;
are_supervised_by;are_tended_by, are_guarded_by, are_monitored_by, are_guided_by, are_mentored_by, are_drilled_by, are_coached_by, are_instructed_by, are_influenced_by, are_handled_by, are_commanded_by, are_counseled_by, are_trained_by, are_tutored_by, are_managed_by;are_overlooked_by;;respected+
are_supported_by;are_served_by, are_funded_by, are_defended_by, are_accompanied_by, delegate_to, are_worshipped_by, are_followed_by, are_assisted_by, are_obeyed_by, are_helped_by, are_championed_by, are_facilitated_by, are_guaranteed_by, are_tended_by, are_waited_upon_by;are_hindered_by, are_undermined_by, are_frustrated_by;supported++;
are_suppressed_by;are_silenced_by, are_subjugated_by, are_ruled_by, are_controlled_by, are_dominated_by, are_excommunicated_by, are_subdued_by, are_oppressed_by, are_censured_by;are_encouraged_by, are_motivated_by, are_promoted_by, are_marketed_by;attacked+, supported--;
are_taught_by;are_educated_by, are_trained_by, study_under, learn_from, are_molded_by, are_influenced_by, are_instructed_by, are_indoctrinated_by, are_coached_by, are_tutored_by;are_deceived_by;inspired+;respected+
are_thanked_by;are_complimented_by, are_rewarded_by, are_appreciated_by, are_repaid_by, are_tipped_by;are_underappreciated_by;respected+;
are_tortured_by;are_persecuted_by, are_tormented_by, are_hurt_by, are_punished_by, are_interrogated_by;are_nurtured_by, are_protected_by, are_shielded_by, are_spoiled_by;disrespected++, attacked++;disrespected+
are_tracked_by;are_pursued_by, are_stalked_by, are_hunted_by, are_sought_by, are_chased_by, are_wanted_by;are_ignored_by, are_abandoned_by;attacked+;attracted+
are_wooed_by;are_pursued_by, are_seduced_by, are_flattered_by, flirt_with, are_charmed_by, are_lured_by;are_dumped_by, are_spurned_by;;attracted++
assist;work_for, support, facilitate, help, encourage, work_with, deliver_for, provide_for;undermine, resist;;supported+
care_for;advise, guide, inspire, supervise, nurture, love, handle, look_after, tend, serve, pray_for, are_concerned_about, watch_over, guard, attend, cater_to, defend, attend_to, breastfeed, minister_to, provide_for, manage, raise;take_advantage_of, exploit;;supported+
cast_off;are_ruined_by, cast_out, are_denounced_by, abandon, break_with, dismiss, let_go_of, break_up_with, evict, excommunicate, avoid, reject, renounce;marry, commit_to;disappointed++, repelled+;respected--
charm;persuade, enchant, entice, attract, flatter, woo, pick_up;disgust, ;respected+;attracted++, inspired+
coerce;enslave, control, suppress, buy_off, bribe, blackmail, dominate, manipulate, indoctrinate, trick, oppress;encourage, lose_control_over;respected+;disrespected+
command;lead, control, rule, rule_over, are_obeyed_by, indoctrinate, are_followed_by, subjugate, deploy, dispatch, send, delegate_to, enslave, manage, bully;are_disobeyed_by, lose_control_over;respected++;inspired+
compliment;flatter, praise, curry_favor_with, suck_up_to, lick_up_to, kiss_up_to, flirt_with, favor, please, popularize;insult, taunt, mock, satirize;attracted+;respected+
consult;are_influenced_by, are_mentored_by, are_advised_by, seek_advice_from, confer_with, speak_to, are_counselled_by, are_counseled_by, visit;tune_out;;respected+
copy;are_mistaken_for, imitate, impersonate, are_influenced_by, admire, mimic, resemble;ignore;inspired+;disappointed+, respected+
debate;argue_with, negotiate_with, debate_with, disagree_with, are_contradicted_by, challenge;silence, ignore;respected+;respected+
defraud;exploit, manipulate, take_advantage_of, steal_from, rob, trick, cheat, lie_to, deceive, fool, cheat_on;invest_in;;disappointed++, disrespected+
delegate_to;command, dispatch, deploy, act_via, govern_via, send, are_represented_by, are_served_by, are_supported_by, manage, commission;distrust;respected+;
deploy;delegate_to, dispatch, act_via, rule_over, control, command, manage, send, unleash, commission;recall;respected++;respected+
disillusion;disappoint, lose_control_over, fail_to_deliver_for, fail_to_impress, lose_favor_with;inspire;respected-;disappointed++, inspired--
dispatch;send, deploy, delegate_to, commission, unleash, command, act_via;recall;respected++;respected+
encourage;rouse, inspire, champion, promote, reward, assist, facilitate, favor;suppress, silence, censure;respected++;respected+, supported+
evaluate;select, study, examine, rank, diagnose, review;underestimate;respected+;
excommunicate;dump, exorcise, fire, divorce, cast_out, cast_off, dismiss, evict, renounce;promote;repelled++;disrespected++
forgive;are_moved_by, sympathize_with;resent;disappointed--;inspired+
harden_toward;grow_suspicious_of, lose_faith_in, are_pushed_too_far_by, are_hardened_by, are_unimpressed_with, dislike, vote_against, despise, distrust, renounce;believe_in, trust;repelled+, disappointed+; supported-, disrespected+
haunt;are_missed_by, follow, track_down, spy_on;ignore, avoid;attracted+;inspired+
kidnap;abduct, imprison, capture, snatch;lose_interest_in;attracted++;attacked++
lead;manage, command, inspire, instruct, rule, control, rule_over, supervise, guide, govern, nurture, mentor, brainwash, indoctrinate, teach, are_worshipped_by, influence;disillusion, are_abandoned_by;respected++;inspired++
lose_interest_in;are_pushed_too_far_by, are_bored_by, are_bored_with, lose_faith_in, are_failed_by, tune_out, ignore, are_disillusioned_by;are_concerned_about, are_intrigued_by;inspired--, disappointed++;respected--
manage;host, lead, tend, supervise, handle, command, mentor, advise, control, instruct, look_after, rule, rule_over, watch_over, train, govern, dominate, delegate_to, deploy, dispatch, monitor, care_for;lose_control_over;respected++;
mentor;train, teach, instruct, advise, counsel, guide, supervise, lead, manage, educate, lecture_to, handle, influence, minister_to, nurture;lead_astray, deceive;respected++;inspired+
offend;insult, mock, heckle, taunt, disrespect, laugh_at, humiliate, curse, hurt, anger;flatter, compliment;inspired-;disrespected++, attacked+
pamper;spoil, pander_to, cater_to, minister_to, wait_on, massage;scold, chastise, overwork;;respected+
persecute;abuse, torture, bully, torment, pick_on, prey_on, threaten, intimidate, taunt, embarrass, terrorize, harass, humiliate;pamper, cater_to, care_for;inspired-;attacked+, disrespected++
rank;elect, select, nominate, evaluate, pick, examine, diagnose, study;disqualify;;respected+
receive;are_visited_by, let_in, welcome, accommodate;avoid, hide_from, cast_out;;respected+
recruit;hire, enlist, sign_up, convert, baptise, appoint,  ordain, persuade;disqualify;respected++;respected+
resemble;imitate, copy, impersonate, are_mistaken_for;;;
seek;find, look_for, search_for, hunt, track_down, pursue, chase, chase_after, round_up;avoid, hide_from, run_away_from;attracted+;
send;deploy, dispatch, delegate_to, act_via, govern_via, command, commission, unleash;recall;respected+;
sign_with;are_hired_by, are_recruited_by, follow, work_for, are_signed_by;break_with;respected+;respected++
speak_to;interview, snitch_to, talk_to, confer_with, consult, confide_in, confess_to, share_stories_with, communicate_with, report_to, answer_to, chat_with, write_to;ignore, avoid;;respected+
struggle_with;fight, are_challenged_by, fight_against, struggle_against, compete_against, campaign_against, run_against, disagree_with, are_contradicted_by, compete_with, brief_against, play_against;campaign_for, support, agree_with, settle_with;attacked+;attacked+
supplant;topple, defeat, upstage, overthrow, conquer, dominate;work_with, support;;attacked+, supported---
supply;supply_to, export_to, sell_to, deliver_to, provide_for;starve;respected+;
suppress;repress, take_as_prisoner, silence, censure, dominate, coerce, oppress, imprison, subjugate, starve;encourage;;attacked+, supported--
sweat_for;labor_for, are_overworked_by, work_for, are_enslaved_by, are_exploited_by, obey, are_hired_by, carry_for, farm_for;fail_to_deliver_for;;respected+
take_as_prisoner;imprison, suppress, incarcerate, capture, repress;free, release, let_go_of;;attacked+, supported--
torment;persecute, pick_on, prey_on, torture, threaten, abuse, harass, intimidate, cause_trouble_for, terrorize, whip, bully;nurture, care_for, respect;;attacked++, respected--
wait_on;tend, pander_to, cater_to, spoil, serve, pamper, attend, attend_to, cook_for, indulge, raise, work_under;bully, ignore;;respected++
accompany;support, travel_with, consort_with, accompany, take_up_with, guide;avoid;respected+;respected+
agree_with;settle_with, identify_with, are_persuaded_by, are_moved_by, are_converted_by;disagree_with, are_contradicted_by;respected+;respected+
apprehend;arrest, capture, catch, track_down, imprison, round_up;let_go_of;attracted+;disrespected+
are_accommodated_by;are_welcomed_by, live_with, rent_from, lease_from, are_greeted_by, are_received_by;are_evicted_by, are_expelled_by;respected+, supported+;
are_accompanied_by;are_followed_by, are_supported_by, are_served_by, travel_with, are_transported_by, are_escorted_by;are_abandoned_by;respected+;respected+
are_baptized_by;are_converted_by, are_radicalized_by, are_ennobled_by, are_blessed_by;are_cursed_by;;respected+
are_blessed_by;are_baptized_by, are_favored_by, are_ennobled_by, are_ordained_by;are_cursed_by;respected+;respected++
are_commanded_by;are_managed_by, are_led_by, are_guided_by, obey, are_controlled_by, are_ruled_by, are_supervised_by, are_mentored_by, are_deployed_by, act_for, govern_for, are_handled_by, follow, are_fielded_by, are_dominated_by, are_monitored_by, are_scripted_by, are_subjugated_by;disobey, stand_up_to, resist;inspired+;respected++
are_complimented_by;are_flattered_by, are_promoted_by, are_marketed_by, are_thanked_by;are_insulted_by, are_taunted_by, are_mocked_by;respected+;attracted+
are_converted_by;are_baptized_by, are_persuaded_by, are_charmed_by, are_recruited_by, are_radicalized_by, believe_in, are_signed_by, agree_with, believe_in;are_denounced_by;;respected++
are_counseled_by;are_counselled_by, are_counseled_by, are_advised_by, are_supervised_by, are_guided_by, are_influenced_by, are_molded_by, are_mentored_by, are_encouraged_by, consult, are_treated_by;are_ignored_by, are_abandoned_by;respected+;respected++
are_defrauded_by;are_exploited_by, are_misrepresented_by, are_deceived_by, are_robbed_by, are_tricked_by, are_manipulated_by, are_cheated_by, are_refused_payment_by;profit_from;disappointed++, disrespected+;
are_diagnosed_by;are_examined_by, are_probed_by, are_evaluated_by, are_profiled_by, are_treated_by, are_graded_by, are_judged_by;are_overlooked_by;;respected+
are_encouraged_by;are_roused_by, are_energized_by, are_assisted_by, are_counseled_by, are_motivated_by;are_subdued_by, are_silenced_by, are_suppressed_by;respected+, supported+;respected++
are_energized_by;are_roused_by, are_motivated_by, are_radicalized_by, are_inspired_by, are_entertained_by, are_encouraged_by, are_driven_by;are_subdued_by, are_suppressed_by;supported+;respected+
are_evicted_by;are_ejected_by, are_excommunicated_by, are_banished_by, are_expelled_by, are_dumped_by, are_defrocked_by, are_exorcized_by, are_disqualified_by, are_rejected_by;are_welcomed_by, are_accommodated_by;respected--;repelled++, disappointed+++
are_exorcized_by;are_banished_by, are_ejected_by, are_expelled_by, are_evicted_by, are_excommunicated_by;resist, haunt;respected--;repelled+++, inspired---
are_failed_by;are_disappointed_by, are_unimpressed_by, are_unimpressed_with, are_judged_by, are_frustrated_by, criticize, are_disobeyed_by, are_hindered_by, lose_interest_in, are_undermined_by;are_impressed_by, are_impressed_with;disappointed++;disrespected+
are_fielded_by;are_deployed_by, are_dispatched_by, are_commanded_by;are_recalled_by;respected+;respected++
are_financed_by;are_funded_by, are_facilitated_by, are_paid_by, borrow_from, are_bought_off_by, inherit_from;are_refused_payment_by;respected+;respected++
are_led_by;are_commanded_by, are_guided_by, follow, are_influenced_by, are_molded_by, are_managed_by, are_monitored_by;are_abandoned_by;inspired+;respected++
are_marketed_by;are_promoted_by, are_championed_by, are_facilitated_by, are_complimented_by, are_popularized_by, are_published_by;are_censured_by, are_suppressed_by;respected+;
are_nominated_by;are_elected_by, are_chosen_by, are_selected_by, are_favored_by, are_picked_by;are_disqualified_by;respected+;respected++
are_offended_by;are_criticized_by, are_mistreated_by, are_insulted_by, are_heckled_by, are_abused_by, are_harassed_by, are_rebuked_by;are_complimented_by, are_flattered_by;disrespected++, attacked+;inspired-
are_oppressed_by;are_persecuted_by, are_tormented_by, are_subjugated_by, are_controlled_by, are_dominated_by, are_suppressed_by, are_subdued_by, are_censured_by, are_silenced_by, are_bullied_by, are_overrun_by;are_encouraged_by, are_motivated_by, are_promoted_by, are_marketed_by;attacked+, inspired--;
are_overworked_by;are_underpaid_by, are_pushed_too_far_by, are_enslaved_by, are_exploited_by, are_used_by, are_underappreciated_by, are_abused_by, are_driven_mad_by, serve, labor_for, sweat_for;are_appreciated_by;respected-;respected++
are_published_by;write_for, are_facilitated_by, are_marketed_by, are_popularized_by;are_silenced_by, are_censured_by, are_suppressed_by;respected+;
are_questioned_by;are_interviewed_by, are_interrogated_by, are_probed_by, are_investigated_by, are_evaluated_by, are_examined_by, are_graded_by, are_profiled_by;are_ignored_by, are_overlooked_by;;
are_radicalized_by;are_roused_by, are_indoctrinated_by, are_brainwashed_by, are_moved_by,  are_hardened_by, are_molded_by, die_for, kill_for, are_baptized_by, are_converted_by, are_energized_by, are_drilled_by, are_enlisted_by, are_ordained_by, are_scripted_by, sympathize_with;are_suppressed_by;inspired+++;respected+++
are_read_by;are_probed_by, are_remembered_by, are_studied_by;are_overlooked_by;respected+;
are_rebuked_by;are_humiliated_by, are_offended_by, are_criticized_by, are_heckled_by, are_insulted_by, are_scolded_by, are_chastised_by;are_encouraged_by, are_motivated_by, are_rewarded_by;respected--;disappointed++
are_rejected_by;are_spurned_by, are_rebuffed_by, are_dumped_by, are_evicted_by, are_expelled_by, are_excommunicated_by, are_disqualified_by, are_divorced_by, are_cut_off_by, lose_favor_with;are_appointed_by, are_chosen_by;respected--;repelled++, disappointed+++
are_remembered_by;are_chronicled_by, are_missed_by, are_read_by, are_named_by;are_forgotten_by;respected+;inspired+
are_repaid_by;are_paid_by, are_thanked_by, are_appreciated_by;are_refused_payment_by;disappointed--, respected+;
are_resented_by;are_despised_by, are_underappreciated_by, are_distrusted_by, are_undermined_by, are_fought_by;are_thanked_by, are_appreciated_by;disrespected++;repelled+, disappointed++
are_ruined_by;are_denounced_by, are_supplanted_by, are_killed_by, are_cursed_by, are_betrayed_by, are_abandoned_by, lose_to, are_defeated_by, are_driven_mad_by, are_conquered_by, are_savaged_by, are_corrupted_by, are_victimized_by;profit_from;attacked++, supported---;
are_spoiled_by;are_raised_by, are_nurtured_by, are_attended_by, are_cared_for_by;are_chastised_by, are_scolded_by, are_whipped_by, are_abused_by, are_harassed_by;respected+;disrespected+
are_studied_by;are_probed_by, are_read_by, are_chronicled_by, are_profiled_by, are_monitored_by;are_overlooked_by;respected++;inspired+
are_supplied_by;buy_from, order_from;are_ignored_by, are_abandoned_by, are_cut_off_by;;respected+
are_tipped_by;are_thanked_by, are_appreciated_by, are_rewarded_by, please;are_underappreciated_by, are_refused_payment_by;respected+;
are_tormented_by;are_detained_by, are_persecuted_by, are_tortured_by, are_attacked_by, are_taunted_by, are_oppressed_by, are_manipulated_by, are_harassed_by, are_stalked_by, are_bullied_by, are_abused_by, are_hurt_by, are_frustrated_by, are_exploited_by, are_cursed_by, are_heckled_by, are_pushed_too_far_by, are_betrayed_by, are_humiliated_by, are_insulted_by, are_mocked_by, are_driven_mad_by, are_hardened_by, are_sickened_by, are_punished_by;are_spoiled_by;attacked++, respected--;
are_trained_by;are_taught_by, are_educated_by, are_instructed_by, are_coached_by, are_drilled_by, are_mentored_by, are_tutored_by, are_supervised_by;are_corrupted_by;supported+;respected++
are_treated_by;are_counseled_by, are_examined_by, are_healed_by, are_diagnosed_by;are_ignored_by, are_abandoned_by, are_mistreated_by;supported+;respected+
are_tutored_by;are_taught_by, are_educated_by, are_instructed_by, are_coached_by, are_drilled_by, are_trained_by, are_mentored_by, are_supervised_by, study_under;are_overlooked_by;inspired+;respected+
are_undermined_by;are_supplanted_by, are_resented_by, are_challenged_by, are_contradicted_by, are_sued_by, are_misrepresented_by, are_embarrassed_by, are_hindered_by, are_frustrated_by, are_failed_by;are_supported_by, are_facilitated_by, are_encouraged_by, are_assisted_by;supported--, respected-, attacked+;
are_visited_by;welcome, receive, let_in, accommodate;are_abandoned_by;respected+;
arrest;round_up, apprehend, capture, catch, prosecute, charge;encourage;inspired-;attacked+, disrespected++
attend;tend, pander_to, cater_to, minister_to, wait_on, care_for, look_after;avoid;;respected+
avoid;tune_out, ignore, elude, cast_off, flee_from, hide_from, dislike;attend, pursue, stalk;repelled+;disrespected+
buy_from;are_supplied_by, order_from;break_with;;
cast_out;break_with, break_up_with, abandon, eject, cast_off, denounce, evict, overthrow, curse, exorcise, excommunicate, renounce, break_free_of, dump, release, fire, divorce, dismiss, let_go_of, reject;welcome;disappointed+++, repelled++;disrespected+++
cater_to;pander_to, attend, wait_on, tend, minister_to, look_after, care_for, serve, pamper, attend_to, cook_for, indulge, provide_for, raise, spoil;exploit, take_advantage_of;;respected+
chat_with;communicate_with, share_stories_with, speak_to, reach_out_to, speak_with, drink_with;ignore, silence, avoid;respected+;respected+
cheat_with;sleep_with, conspire_with, abet;break_with;attracted+;attracted+
consult_with;advise, visit, confide_in, seek_advice_from, are_advised_by, counsel, are_mentored_by, are_counselled_by;break_with;respected+;respected++
cross_examine;question, interrogate, interview, diagnose, examine;silence, ignore;;attacked+
cure;treat, minister_to, tend, operate_on, experiment_on, heal;hurt;;supported++
curse;insult, renounce, denounce, heckle, criticize, offend, hate, cast_out, condemn;compliment, flatter;repelled++;attacked++, supported--
debate_with;argue_with, negotiate_with, disagree_with, debate, are_contradicted_by, compete_against, are_debated_by, argue_before, deal_with;suppress, silence, censure;respected+;respected+
defend;believe_in, fight_for, protect, watch_over, look_after, care_for, save, rescue, guarantee;sacrifice;inspired+;supported++, respected+
deliver_for;work_for, support, help, assist;fail_to_deliver_for;;respected+
detain;imprison, incarcerate, capture;free, release, let_go_of;;disrespected+, supported-
devour;attack, assault, destroy, prey_on, disfigure;are_sickened_by;;attacked+
dislike;distrust, despise, hate, avoid, harden_toward, denounce,;admire, love;;disrespected+
disqualify;reject, eject, evict, renounce;nominate;disappointed++;disrespected+
educate;teach, advise, evaluate, train, supervise, instruct, coach, mentor, guide, lecture_to, influence;deceive;;inspired+
embarrass;harass, persecute, bully, humiliate, cause_trouble_for, heckle, laugh_at, mock, pick_on, insult, upstage;encourage;disrespected+;inspired-, disappointed++
execute;kill, murder, assassinate, decapitate, destroy;free, release, let_go_of;;attacked+++
experiment_on;operate_on, exploit, take_advantage_of, manipulate, study, cure;care_for;;disrespected+, supported-
fight;fight_against, overcome, struggle_against, argue_with, struggle_with, attack, compete_against, challenge;settle_with, fight_for;;attacked+
fight_for;campaign_for, defend, kill_for, propagandize_for, protect, die_for, show_loyalty_to, believe_in, support, commit_to, follow;fight;inspired+;respected++
fight_with;compete_with, conspire_with, abet, perform_with, play_with;fight;respected+;respected+
find;catch, capture, track_down, seek, look_for, identify;avoid, lose_interest_in;attracted+;
free;release, rescue, save;imprison, detain;;supported++, respected+
give_birth_to;nurture, raise, breastfeed, sire;kill, murder;;
govern;lead, manage, rule, rule_over, are_elected_by, represent;lose_control_over;respected++;
govern_for;act_for, negotiate_for, answer_to, speak_for, report_to, are_commanded_by;rise_against;respected+;respected++
help;assist, support, work_with, facilitate, deliver_for, provide_for;undermine;;supported++
host;welcome, let_in, accommodate, manage;evict, eject;respected+;respected+
hunt;track_down, chase_after, lay_a_trap_for, pursue, chase, stalk, follow, prey_on, seek, look_for;are_eluded_by, lose_interest_in;attracted+;attacked+, repelled++
hurt;abuse, harass, punish, beat_up, offend, disfigure, mock, torture, whip, assault, hit;diagnose, care_for;;attacked++
impersonate;mimic, copy, imitate, are_mistaken_for, resemble;lose_control_over;inspired+;disappointed+
incarcerate;imprison, detain, capture, take_as_prisoner;free, release, let_go_of;disrespected++;attacked+, supported--
instruct;advise, teach, supervise, train, coach, lead, manage, lecture_to, guide, educate, mentor, preach_to;lead_astray, deceive;respected+;
intimidate;threaten, persecute, bully, torment, pick_on, are_feared_by, terrorize, tower_over, whip, harass;flatter, compliment;respected+;repelled+
invest_in;finance, fund, buy_off, pay_off, profit_from, lend_to, pay, believe_in;steal_from;respected++;respected+
laugh_at;mock, heckle, criticize, satirize, joke_about, insult, condescend_to, spread_lies_about, underestimate, humiliate, are_entertained_by, disrespect, taunt, offend, embarrass, despise, undermine;respect, compliment;inspired--;disrespected++
lecture_to;instruct, teach, guide, mentor, preach_to, educate;learn_from;respected+;respected-
look_for;seek, find, search_for, track_down, hunt;lose_interest_in;attracted+;
massage;operate_on, pamper, pander_to, minister_to;torture, torment;;respected+, supported+
monitor;manage, guard, observe, supervise, protect, watch_over, spy_on, look_after, are_concerned_about, stalk;lose_interest_in, ignore;attracted+;respected-
murder;kill, assassinate, execute, destroy, decapitate, are_arrested_for_killing, blow_up;care_for;;attacked+++
nominate;select, pick, favor, vote_for, rank, elect;disqualify, rebuff;respected++;respected+
operate_on;massage, experiment_on, treat, cure, heal;experiment_on;respected+;supported++
overcome;destroy, defeat, renounce, denounce, struggle_against,  ;are_overwhelmed_by;attacked+;respected-
perform_with;play_with, compete_with, work_with, sing_with, conspire_with, fight_with, abet, collude_with, compose_with;break_with;respected+;respected+
pick_on;abuse, harass, threaten, prey_on, persecute, torment, cause_trouble_for, heckle, insult, disrespect, embarrass, intimidate, whip, bully, chase, torture;look_up_to;inspired-;attacked+, disrespected++
pity;feel_sorry_for, are_moved_by, sympathize_with;respect, fear;inspired-;supported+, disrespected+
preach_to;minister_to, lecture_to, condescend_to, criticize, instruct, guide;learn_from, are_inspired_by;respected+;inspired+, respected-
propagandize_for;champion, write_for, suck_up_to, popularize, lie_for, support, testify_for, campaign_for, fight_for, represent, advocate_for, shill_for;brief_against, satirize;inspired+;respected+
propose_to;woo, pitch_at, negotiate_with, commit_to;dump;attracted+;respected+
prosecute;accuse, sue, arrest, charge;testify_for;disappointed++;attacked+, supported-
protect;guard, look_after, watch_over, defend, speak_for, control, monitor, save, lie_for, rescue, fight_for, guarantee;pick_on, bully, terrorize;inspired+;supported++
reach_out_to;pitch_at, write_to, confide_in, chat_with, appeal_to, seek_sympathy_from;rebuff;;respected+
rebuff;reject, eject, evict, renounce, denounce;reach_out_to;repelled++;disrespected++
reject;renounce, denounce, cast_off, cast_out, eject, evict, rebuff, undermine, dismiss, disqualify;reach_out_to, nominate;repelled++, disappointed+++;respected--
represent;work_for, negotiate_for, act_for, propagandize_for;misrepresent;;
review;evaluate, examine, study;underestimate;;
run_against;compete_against, vote_against, testify_against, brief_against, struggle_against, fight_against, struggle_with, challenge;campaign_for, propagandize_for;;attacked+, supported-
satirize;insult, mock, joke_about, laugh_at, criticize, write_about;compliment, flatter, propagandize_for;inspired+;disrespected++
select;pick, vote_for, rank, nominate, evaluate, elect, identify;rebuff, reject, disqualify;respected++;respected+
sell_through;sell_via, act_via;break_with;;
sell_to;supply_to, deal_with, supply, deliver_to, export_to;break_with;;
snatch;kidnap, abduct, capture, imprison;lose_interest_in, ignore;attracted++;attacked++
snitch_on;turn_against, betray, undermine, testify_against, brief_against, accuse;testify_for, propagandize_for, lie_for;inspired-;supported-
snitch_to;complain_to, tip_off, report_to, speak_to, inform, leak_to, testify_before;lie_to, deceive;disrespected+;respected+
speak_through;talk_through, communicate_through, act_via, communicate_via;silence, are_silenced_by;respected++;respected+
supervise;advise, guide, inspire, care_for, manage, instruct, lead, teach, train, educate, monitor, look_after, coach, mentor, spy_on, rule_over, control, rule, handle;are_disobeyed_by, lose_control_over;respected++;
terrorize;are_feared_by, tower_over, abuse, threaten, intimidate, bully, persecute, torment, beat_up, blow_up, assassinate;care_for, nurture, protect;;attacked+, disrespected++
tip;reward;refuse_to_pay;respected++;respected+
tip_off;complain_to, snitch_to, inform, leak_to, testify_before;lie_to, deceive;;respected++
tower_over;rule_over, intimidate, threaten, condescend_to, overshadow, dominate, terrorize, impress, inspire;are_overshadowed_by;respected+++;inspired+
train;coach, instruct, handle, manage, teach, supervise, educate, mentor, guide;learn_from, are_inspired_by;respected++;supported+
translate_for;act_for, speak_for, negotiate_for, interpret_for, write_for;misrepresent;;
treat;cure, operate_on, diagnose, minister_to, heal;kill, experiment_on, hurt;respected+;supported+
vote_against;brief_against, run_against, testify_against, lose_faith_in, harden_toward, campaign_against;vote_for, elect, campaign_for;inspired--;supported--
whip;punish, beat_up, intimidate, abuse, harass, hurt, torment, pick_on, discipline;massage;inspired-;attacked+
woo;propose_to, love, flirt_with, seduce, charm, entice, kiss_up_to, curry_favor_with, chase_after, commit_to, date, pick_up, fall_in_love_with;rebuff, lose_interest_in, avoid;attracted+;
write_about;satirize, joke_about;satirize;inspired+;respected+
abduct;kidnap, capture, imprison, snatch;lose_interest_in, ignore;attracted++;attacked++
abet;conspire_with, perform_with, work_with, collude_with, cheat_with, fight_with, compose_with;snitch_on, break_with;respected+;respected+
accommodate;welcome, let_in, host, rent_to, lease_to, receive, are_visited_by;eject, evict, cast_out;;respected+, supported+
accuse;testify_against, brief_against, sue, prosecute, snitch_on, charge;testify_for, propagandize_for, lie_for;inspired-, disappointed++;attacked+
