Action;Similar;Opposite;A feeling;B feeling
elect;vote_for, campaign_for, select, nominate, appoint, rank, pick;vote_against, campaign_against, brief_against;inspired+;supported++, respected++
enhance;beautify, style_for, dress;satirize;;supported+
entice;attract, seduce, charm, woo, lead_astray, lick_up_to, kiss_up_to, lay_a_trap_for, flirt_with, suck_up_to, flatter, enchant, corrupt, persuade, pick_up, pitch_at, pose_for;disgust;attracted++;attracted+
evaluate_with;;;;
examine;rank, evaluate, cross_examine, question, interview, diagnose, review;ignore, lose_interest_in;;
exorcise;evict, cast_out, dump, excommunicate;encourage, reward, convert;repelled+++, inspired---;respected--
export_to;sell_to, supply, supply_to;fail_to_deliver_for;;
facilitate;interact_with, handle, support, help, assist, carry_for, finance, fund, guarantee, encourage;cause_trouble_for, undermine;;supported+
farm_for;work_for, sweat_for, labor_for;cause_trouble_for;respected+;respected++
finance;fund, invest_in, lend_to, support, facilitate, pay, believe_in;refuse_to_pay;respected++;respected+
flee_from;escape_from, elude, are_chased_by, are_pursued_by, are_hunted_by, hide_from, are_wanted_by, run_away_from, break_free_of, break_up_with, avoid, leave_behind;stand_up_to;repelled+++;attracted+
fool;cheat, trick, defraud, deceive, lie_to, manipulate, exploit, misrepresent, lead_astray, cheat_on;show_loyalty_to, snitch_to;;disrespected+
fund;finance, invest_in, lend_to, facilitate, pay, believe_in;refuse_to_pay, undermine;respected++;respected+
govern_via;act_via, communicate_via, delegate_to, send;lose_faith_in;respected++;respected+
guarantee;protect, support, defend, facilitate, believe_in;lose_faith_in, brief_against;respected++;respected+
guide;advise, inspire, supervise, care_for, lead, accompany, brainwash, indoctrinate, teach, instruct, inform, navigate_for, mentor, coach, preach_to, lecture_to, rule, counsel, are_followed_by, educate, train, drive_for, influence, minister_to;lead_astray;respected++;inspired++
handle;train, manage, care_for, look_after, mentor, supervise, facilitate;misrepresent;respected+;
harass;intimidate, insult, heckle, prey_on, assault, pick_on, threaten, abuse, hurt, cause_trouble_for, persecute, exploit, starve, torture, torment, embarrass, whip, bully, molest, hit;look_after, care_for, respect;;attacked+, disrespected++
are_harassed_by;are_bullied_by, are_taunted_by, are_tormented_by, are_persecuted_by, are_heckled_by, are_abused_by, are_victimized_by, are_threatened_by, are_mistreated_by, are_offended_by;are_respected_by, are_venerated_by, are_spoiled_by;attacked+, disrespected++;
heal;cure, treat, operate_on, rescue, save;hurt, kill;;supported++
hit;beat_up, abuse, assault, hurt, attack, are_arrested_for_hurting, harass;massage, indulge;;attacked+, disrespected++
identify;sympathize_with, find, select, pick;lose_interest_in, ignore;;
indulge;spoil, pander_to, cater_to, wait_on, tend, attend_to, breastfeed;hurt, cause_trouble_for;;respected++, supported++
influence;guide, mentor, coach, advise, inspire, indoctrinate, brainwash, navigate_for, lead, educate;lose_control_over, are_ignored_by, fail_to_impress;respected++;inspired+
inform;guide, report_to, answer_to, tip_off, snitch_to, complain_to, leak_to, answer, answer_questions_from, respond_to;lie_to, snitch_on;;supported+
inherit_from;descend_from, are_named_by, are_financed_by, are_funded_by;are_cut_off_by;respected+;respected++
interact_with;facilitate, communicate_with, deal_with, negotiate_with, live_with, speak_with;ignore, break_with;respected+;respected+
interpret_for;speak_for, act_for, take_messages_for, write_for, translate_for;misrepresent;;respected+
intimidate_with;threaten_with, unleash;are_unimpressed_with, joke_about;supported+;disrespected+
joke_about;laugh_at, disrespect, spread_lies_about, undermine, insult, satirize, write_about;respect, look_up_to, propagandize_for;inspired-;disrespected++
leak_to;snitch_to, inform, tip_off;ignore, lie_to, deceive;;supported+
learn_with;train_with;;respected+;respected+
lease_from;rent_from, are_accommodated_by;are_evicted_by, are_expelled_by;;
lease_to;rent_to, accommodate, welcome, let_in;evict, eject;;
leave_behind;abandon, run_away_from, flee_from, escape_from, hide_from, break_free_of, renounce;are_pursued_by, commit_to, show_loyalty_to;repelled++;disappointed++
lend_to;fund, finance, invest_in, trust;withhold_payment_from;;supported+
live_with;interact_with, communicate_with, share_stories_with, marry, take_up_with, are_accommodated_by, mate_with;are_ejected_by;respected+;respected+
mate_with;sleep_with, live_with, marry, are_deflowered_by;are_spurned_by;attracted+;attracted+
minister_to;preach_to, tend, care_for, look_after, mentor, guide, teach, pamper, attend, cater_to,  massage, treat, nurture, raise;starve, cause_trouble_for;;supported+
model_for;pose_for, are_photographed_by, are_painted_by;hide_from;;supported+
molest;abuse, harass, exploit, take_advantage_of;care_for, nurture, protect;;attacked+
mourn_for;pine_for, cry_for;exorcise;;respected+
mystify;enchant;fail_to_impress, disillusion;respected+;inspired++
navigate_for;guide, drive_for, influence;lead_astray;;supported+
negotiate_for;act_for, speak_for, lie_for, govern_for, represent, translate_for;cause_trouble_for, undermine, misrepresent;respected+;respected++
nurture;raise, care_for, love, lead, support, tend, look_after, breastfeed, mentor, minister_to;undermine, cause_trouble_for, starve;respected+;supported+
ordain;convert, recruit, baptise, enlist, brainwash, sign_up, appoint, baptize;eject, condemn, denounce;respected++;respected+
order_from;buy_from, are_supplied_by;are_cut_off_by;;
overshadow;tower_over, condescend_to;are_overshadowed_by, look_up_to;respected++;disrespected++
owe;borrow_from, owe_to;are_owed_by;;disappointed++
owe_to;borrow_from, owe;are_owed_by;;disappointed++
paint;create_for, design_for, photograph;satirize, ignore, lose_interest_in;attracted+;
pay;pay_off, invest_in, fund, finance, reward;refuse_to_pay;;supported+, disappointed--
perform_for;play_for, entertain, act_for, are_scripted_by;fail_to_deliver_for;respected+;respected++
persuade;convert, charm, overcome, agree_with, settle_with, entice, enchant, recruit, seduce, pitch_at;are_contradicted_by;respected+;inspired+
photograph;paint, capture;ignore, lose_interest_in;attracted+;
pick;select, nominate, elect, vote_for, rank, identify;lose_interest_in, ignore;attracted+;respected+
pick_up;woo, seduce, flirt_with, charm, entice, enchant;are_rebuffed_by, are_spurned_by;attracted+;respected+
pitch_at;propose_to, reach_out_to, persuade, entice, appeal_to;are_rebuffed_by, are_spurned_by;;inspired+
play_against;compete_against, fight_against, struggle_against, struggle_with, deal_with;play_with;respected+;respected+
please;pander_to, spoil, compliment, flatter, curry_favor_with, suck_up_to, lick_up_to, kiss_up_to, impress, reward, are_tipped_by;fail_to_deliver_for, anger;;disappointed--
popularize;champion, promote, flatter, compliment, advocate_for, campaign_for, propagandize_for, shill_for;condemn, campaign_against, satirize, denounce, brief_against;;
