action	A (***strong, **medium, *weak)	B (***strong, **medium, *weak)
are_rebuked_by	**animations/Stand/Reactions/SeeSomething_7	*animations/Stand/Gestures/ShowFloor_2, **animations/Stand/Gestures/This_5, **animations/Stand/Gestures/No_9, ***animations/Stand/Gestures/No_4, *animations/Stand/Gestures/YouKnowWhat_3, **animations/Stand/Gestures/YouKnowWhat_6
appoint	*animations/Stand/Gestures/This_5, **animations/Stand/Gestures/You_1, **animations/Stand/Gestures/You_2	
are_appointed_by	**animations/Stand/Gestures/You_1, **animations/Stand/Gestures/You_2	*animations/Stand/Gestures/This_5
are_dumped_by	*animations/Stand/Gestures/Angry_3, *animations/Stand/Gestures/This_9, *animations/Stand/Gestures/Angry_1	**animations/Stand/Gestures/Reject_1, ***animations/Stand/Gestures/Reject_4, **animations/Stand/Gestures/Reject_6
raise	**animations/Stand/Gestures/ShowSky_7	
are_raised_by	**animations/Stand/Gestures/ShowSky_7	
nurture	**animations/Stand/Gestures/ShowSky_7	
are_nurtured_by	**animations/Stand/Gestures/ShowSky_7	
run_away_from	**animations/Stand/Gestures/Enthusiastic_5	
supply_to	**animations/Stand/Gestures/WhatSThis_2	
preach_to	**animations/Stand/Gestures/YouKnowWhat_5, **animations/Stand/Gestures/ShowSky_11, *animations/Stand/Gestures/JointHands_1, **animations/Stand/Gestures/ShowSky_1	
lose_favor_with		**animations/Stand/Gestures/No_3, **animations/Stand/Gestures/No_6, **animations/Stand/Gestures/Desperate_3
order_from	**animations/Stand/Gestures/This_3	
are_disillusioned_by	*animations/Stand/Reactions/EthernetOff_1, *sound:animations/Stand/Emotions/Negative/Exhausted_2, *animations/Stand/Emotions/Negative/Exhausted_1, *animations/Stand/Gestures/Angry_3, *animations/Stand/Gestures/WhatSThis_13	**animations/Stand/Gestures/Hey_6
leak_to	**animations/Stand/Gestures/Give_1, **animations/Stand/Gestures/Joy_1, **animations/Stand/Gestures/Give_5	
are_freed_by	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Waiting/HideHands_1, **animations/Stand/Gestures/Give_3, **animations/Stand/Gestures/Confused_1	**animations/Stand/Gestures/Give_1, ***animations/Stand/Gestures/Joy_1, ***animations/Stand/Gestures/CountMore_2, **animations/Stand/Gestures/ShowFloor_5, **animations/Stand/Gestures/ShowFloor_1
are_rewarded_with		*animations/Stand/Gestures/Give_1
are_expelled_by		*animations/Stand/Gestures/Give_1, ***animations/Stand/Gestures/Reject_4, **animations/Stand/Gestures/ShowSky_6
handle	*animations/Stand/Gestures/ShowFloor_3	
are_handled_by		*animations/Stand/Gestures/ShowFloor_3
deal_with	*animations/Stand/Gestures/ShowFloor_3	
are_chosen_by		***animations/Stand/Gestures/You_1, ***animations/Stand/Gestures/You_2, **animations/Stand/Gestures/You_3, **animations/Stand/Gestures/You_4
cheat	*animations/Stand/Gestures/Excited_1	
are_cheated_by		*animations/Stand/Gestures/Excited_1
cheat_on	*animations/Stand/Gestures/Excited_1	
cheat_with	*animations/Stand/Gestures/Excited_1	
pray_for	*animations/Stand/Gestures/ShowSky_9, *animations/Stand/Gestures/JointHands_1, **animations/Stand/Gestures/ShowSky_10	
worship_with	*animations/Stand/Gestures/ShowSky_9, **animations/Stand/Gestures/ShowSky_10	
worship	*animations/Stand/Gestures/ShowSky_9, **animations/Stand/Gestures/ShowSky_11, **animations/Stand/Gestures/ShowSky_1, **animations/Stand/Gestures/ShowSky_10	
are_worshipped_by	*animations/Stand/Gestures/ShowSky_9, **animations/Stand/Gestures/ShowSky_10	
pray_to	*animations/Stand/Gestures/ShowSky_9, **animations/Stand/Gestures/ShowSky_11, *animations/Stand/Gestures/JointHands_1, **animations/Stand/Gestures/ShowSky_1, **animations/Stand/Gestures/ShowSky_10	
pray_with	*animations/Stand/Gestures/ShowSky_9, *animations/Stand/Gestures/JointHands_1, **animations/Stand/Gestures/ShowSky_10	
are_retained_by		**animations/Stand/Gestures/JointHands_2
answer_to	*animations/Stand/Gestures/Give_2	
answer	*animations/Stand/Gestures/Give_2	
are_answered_by		*animations/Stand/Gestures/Give_2
ask_questions_for	**animations/Stand/Gestures/WhatSThis_11	
answer_questions_from		**animations/Stand/Gestures/WhatSThis_11
are_challenged_by	**animations/Stand/Waiting/KungFu_1	*animations/Stand/Gestures/Thinking_4
promote	***animations/Stand/Emotions/Positive/Excited_2, **animations/Stand/Gestures/ShowSky_11, *animations/Stand/Gestures/ShowSky_1	**animations/Stand/Gestures/Salute_1
renounce	*animations/Stand/Gestures/Reject_3	
lease_to	***animations/Stand/Gestures/Give_5	
lease_from		***animations/Stand/Gestures/Give_5
rent_to	***animations/Stand/Gestures/Give_5	
rent_from		***animations/Stand/Gestures/Give_5
descend_from	*animations/Stand/Gestures/Give_5, **animations/Stand/Gestures/CountThree_2	
are_roused_by	**animations/Stand/Gestures/Stretch_2	
rouse		**animations/Stand/Gestures/Stretch_2
break_up_with	**animations/Stand/Gestures/Nothing_1, **animations/Stand/Gestures/Everything_1, **animations/Stand/Gestures/Everything_3	
divorce	**animations/Stand/Gestures/Nothing_1, **animations/Stand/Gestures/Everything_3	
are_divorced_by		**animations/Stand/Gestures/Nothing_1, **animations/Stand/Gestures/Everything_3
are_defeated_by	**animations/Stand/BodyTalk/Speaking/BodyTalk_17, ***animations/Stand/Reactions/Heat_2, ***animations/Stand/Reactions/Heat_1, *animations/Stand/Gestures/Everything_1	*animations/Stand/Gestures/Nothing_1
rank	*animations/Stand/Gestures/CountFour_1	
accuse	***animations/Stand/Gestures/You_3, **animations/Stand/Gestures/You_4	
are_accused_by		***animations/Stand/Gestures/You_3, **animations/Stand/Gestures/You_4
destroy	***animations/Stand/Gestures/Nothing_2, ***animations/Stand/Gestures/Everything_1	
are_marketed_by	**animations/Stand/Gestures/Thinking_1	
execute	***iconic_actions-4373e0/kill,*animations/Stand/Gestures/Everything_1	
are_denounced_by	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1, ***animations/Stand/Emotions/Negative/Bored_1, ***animations/Stand/Emotions/Negative/Bored_2, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1	**animations/Stand/Gestures/No_4
sue	**animations/Stand/Gestures/No_4	
are_sued_by		**animations/Stand/Gestures/No_4
countersue	**animations/Stand/Gestures/No_4	
pander_to	**animations/Stand/Gestures/YouKnowWhat_3	
overcome	*animations/Stand/Gestures/Everything_5	
are_worshipped_by	*animations/Stand/Gestures/ShowSky_9, **animations/Stand/Gestures/ShowSky_10	**animations/Stand/Gestures/ShowSky_11, **animations/Stand/Gestures/ShowSky_1
repay	*animations/Stand/Gestures/CountOne_2	
are_repaid_by		*animations/Stand/Gestures/CountOne_2
entice	***animations/Stand/Gestures/ComeOn_1	
are_enticed_by		***animations/Stand/Gestures/ComeOn_1
woo	***animations/Stand/Gestures/ComeOn_1	
are_wooed_by		***animations/Stand/Gestures/ComeOn_1
dominate	**animations/Stand/Gestures/ComeOn_1	
are_dominated_by		**animations/Stand/Gestures/ComeOn_1
fail_to_reward	*animations/Stand/Gestures/WhatSThis_16, ***animations/Stand/Gestures/IDontKnow_1	
oppress	**animations/Stand/Gestures/Reject_2	
are_oppressed_by		**animations/Stand/Gestures/Reject_2
suppress	**animations/Stand/Gestures/Reject_2	
are_suppressed_by		**animations/Stand/Gestures/Reject_2
subjugate	*animations/Stand/Gestures/Reject_2	
are_subjugated_by		*animations/Stand/Gestures/Reject_2
are_abandoned_by	**sound:animations/Stand/Emotions/Negative/Sad_1, **animations/Stand/Emotions/Neutral/Innocent_1, ***animations/Stand/Emotions/Neutral/Lonely_1	**animations/Stand/Gestures/IDontKnow_4
are_failed_by		**animations/Stand/Gestures/IDontKnow_1
hate	**animations/Stand/Gestures/Angry_1	
