gesture	time	strong	moderate 	weak
animations/Stand/Waiting/Zombie_1	21.37945414		are_controlled_by,*control 	are_brainwashed_by,brainwash 
animations/Stand/Waiting/LoveYou_1	9.012315035	propose_to,fall_in_love_with,love ,*are_loved_by 		
animations/Stand/Waiting/Bandmaster_1	15.59987998		manage,*are_managed_by 	command,*are_commanded_by 
*animations/Stand/Waiting/KnockEye_1	5.574020863		are_ruined_by,are_corrupted_by,*corrupt	
animations/Stand/Waiting/ScratchHead_1	#N/A	remember,are_remembered_by,recall,*are_recalled_by		
animations/Stand/Waiting/Drink_1	7.674293041	drink_with 		
animations/Stand/Waiting/Relaxation_1	7.802534103		welcome,*are_welcomed_by,*are_greeted_by 	
animations/Stand/Waiting/Stretch_2	7.334137201		*train,are_trained_by,train_with 	
animations/Stand/Waiting/HideEyes_1	13.09980392	are_overlooked_by 	hide_from 	
animations/Stand/Waiting/ScratchEye_1	1.220846176			are_bored_by,are_bored_with,sweat_for 
animations/Stand/Waiting/ScratchLeg_1	5.931726933		operate_on 	
animations/Stand/Waiting/PlayHands_1	6.094956875	create_for 		
animations/Stand/Waiting/KungFu_1	5.938392878		challenge,are_challenged_by 	
animations/Stand/Waiting/ScratchBottom_1	#N/A			are_unimpressed_by,are_unimpressed_with,are_bored_by,are_bored_with 
animations/Stand/Waiting/PlayHands_3	9.427125931	create_for 		
animations/Stand/Waiting/PlayHands_2	7.198199987	create_for 		
animations/Stand/Waiting/Relaxation_4	7.311990023			are_unimpressed_by,are_unimpressed_with,are_bored_by,are_bored_with 
animations/Stand/Waiting/ShowSky_1	6.299517155	look_up_to,*are_venerated_by 	inspire,*are_inspired_by	
animations/Stand/Waiting/Rest_1	4.933438063		agree_with 	
*animations/Stand/Waiting/Taxi_1	4.410907984		heckle,_are_heckled_by	
animations/Stand/Gestures/Yes_1	1.801734924		agree_with 	
animations/Stand/Gestures/Me_7	2.6454041	identify_with 	steal_from,rob,*are_robbed_by,borrow_from,*lend_to	trust ,*are_trusted_by,believe_in,confide_in,rely_on
animations/Stand/Gestures/But_1	1.31843996		disrespect,offend,*are_disrespected_by,*are_offended_by 	
animations/Stand/Gestures/Yes_2	1.251710892		agree_with 	*are_judged_by 
animations/Stand/Gestures/JointHands_3	4.01315999	conspire_with,collude_with	manipulate,*are_manipulated_by,indoctrinate,*are_indoctrinated_by	lay_a_trap_for,fool 
animations/Stand/Gestures/Thinking_6	#N/A			wait_on,*are_waited_upon_by 
animations/Stand/Gestures/WhatSThis_6	1.787229061		release,*are_released_by,confess_to,deliver_for,sell_to 	lose_control_over,sacrifice_to,
animations/Stand/Gestures/ShowSky_12	3.64231801	sing_with,perform_with,perform_for,propose_to,*are_venerated_by 	appeal_to,speak_through 	
animations/Stand/Gestures/Enthusiastic_1	2.198173046		are_energized_by 	
animations/Stand/Gestures/Everything_4	2.379426003	settle_with,are_silenced_by,silence 	dismiss,*are_dismissed_by 	*are_refused_payment_by,refuse_to_pay,withold_payment_from,withhold_payment_from 
animations/Stand/Gestures/Explain_11	3.469496965			seek_advice_from,complain_to 
animations/Stand/Gestures/Thinking_5	#N/A			wait_on,*are_waited_upon_by,model_for,pose_for 
animations/Stand/Gestures/Thinking_8	#N/A		resist,*are_resisted_by,guard,*are_guarded_by,defend,*are_defended_by,protect,*are_protected_by,*are_shielded_by 	
animations/Stand/Gestures/Yum_1	2.995183945		receive,*are_received_by,give_birth_to 	are_healed_by,*heal,*cure,mate_with,sleep_with,are_deflowered_by 
animations/Stand/Gestures/Me_1	1.960700035	snatch,*are_snatched_by,catch,*are_caught_by,capture,are_captured_by	steal_from,rob,*are_robbed_by 	identify_with 
animations/Stand/Gestures/Far_3	4.139055967	command,*are_commanded_by,lead,*are_led_by	lead_astray,guide,*are_guided_by 	conquer,*are_conquered_by 
animations/Stand/Gestures/Explain_8	2.517756939		argue_before,debate_with,argue_with,negotiate_with,confer_with	talk_through,communicate_through,communicate_via
animations/Stand/Gestures/WhatSThis_14	2.285604954		argue_before,debate_with,argue_with,appeal_to,negotiate_with 	seek_advice_from 
animations/Stand/Gestures/Reject_5	2.417640924	deploy,*are_deployed_by,*are_fielded_by,dispatch,*are_dispatched_by 	eject,*are_ejected_by ,supplant,*are_supplanted_by 	inherit_from 
animations/Stand/Gestures/CalmDown_6	2.337027788		silence,*are_silenced_by 	take_aim_at,target,*are_targeted_by
animations/Stand/Gestures/IDontKnow_6	2.404610157		praise	confess_to,deliver_to 
animations/Stand/Gestures/Salute_3	5.924679995	are_ennobled_by,obey,*are_obeyed_by	welcome,*are_greeted_by,*are_welcomed_by,respect,*are_respected_by 	
animations/Stand/Gestures/No_2	3.269211769	disagree_with,*are_contradicted_by 	reject,*are_rejected_by 	
animations/Stand/Gestures/This_7	3.016218901	*are_judged_by 	*are_lectured_by,lecture_to,coach,*are_coached_by,instruct ,*are_instructed_by 	
animations/Stand/Gestures/Thinking_7	#N/A	breastfeed 	deliver_to,borrow_from,lend_to	owe,*are_owed_by 
