kill_for		
kill		
are_killed_by		
are_arrested_for_killing	animations/Stand/Reactions/SeeSomething_4	animations/Stand/Reactions/SeeSomething_4
are_arrested_for_hurting	animations/Stand/Reactions/SeeSomething_4	animations/Stand/Reactions/SeeSomething_4
are_ennobled_by	animations/Stand/Reactions/SeeSomething_4, animations/Stand/Gestures/Salute_2	animations/Stand/Reactions/SeeSomething_4, animations/Stand/Gestures/Salute_2
are_evicted_by	animations/Stand/Reactions/SeeSomething_4	animations/Stand/Reactions/SeeSomething_4
evict		
are_inspired_by		
inspire		
grow_suspicious_of	animations/Stand/Emotions/Neutral/Cautious_1	animations/Stand/Emotions/Neutral/Cautious_1
are_impressed_by	animations/Stand/Emotions/Negative/Shocked_1, animations/Stand/Emotions/Positive/Ecstatic_1, animations/Stand/Emotions/Neutral/Alienated_1, animations/Stand/Gestures/YouKnowWhat_1, animations/Stand/Gestures/Confused_1	animations/Stand/Emotions/Negative/Shocked_1, animations/Stand/Emotions/Positive/Ecstatic_1, animations/Stand/Emotions/Neutral/Alienated_1, animations/Stand/Gestures/YouKnowWhat_1, animations/Stand/Gestures/Confused_1
impress		
are_examined_by		
disagree_with	animations/Stand/Reactions/TouchHead_1, animations/Stand/Reactions/ShakeBody_1, animations/Stand/Gestures/No_8, animations/Stand/Gestures/No_6, animations/Stand/Gestures/IDontKnow_4	animations/Stand/Reactions/TouchHead_1, animations/Stand/Reactions/ShakeBody_1, animations/Stand/Gestures/No_8, animations/Stand/Gestures/No_6, animations/Stand/Gestures/IDontKnow_4
are_disqualified_by		
disqualify	animations/Stand/Reactions/TouchHead_1, animations/Stand/Reactions/ShakeBody_1	animations/Stand/Reactions/TouchHead_1, animations/Stand/Reactions/ShakeBody_1
are_driven_mad_by		
alienate		
are_exploited_by	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1
exploit		
are_abused_by	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1
abuse		
prey_on		
coerce		
are_humiliated_by	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1, animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Exhausted_1	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1, animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Exhausted_1
humiliate		
are_denounced_by	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1, animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Exhausted_1	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1, animations/Stand/Emotions/Negative/Bored_1, animations/Stand/Emotions/Negative/Exhausted_1
denounce		
are_taunted_by	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1, animations/Stand/Waiting/ShowMuscles_5	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1, animations/Stand/Waiting/ShowMuscles_5
taunt	animations/Stand/Waiting/ShowMuscles_5	animations/Stand/Waiting/ShowMuscles_5
laugh_at		
